TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,Major_Color,Minor_Color,WarmkColorIntensity
1610612737,ATL,Atlanta Hawks,7CA3CC,A2C1D6,
1610612738,BOS,Boston Celtics,014A37,C49E57,
1610612751,BKN,Brooklyn Nets,73766F,AAACAB,
1610612766,CHA,Charlotte Hornets,02505C,59AC98,
1610612741,CHI,Chicago Bulls,DD0127,92182D,1
1610612739,CLE,Cleveland Cavaliers,C8984C,D0C283,
1610612742,DAL,Dallas Mavericks,9FA8A7,81837E,
1610612743,DEN,Denver Nuggets,243D97,F9CC1B,
1610612765,DET,Detroit Pistons,A2A8A6,FF584A,
1610612744,GSW,Golden State Warriors,957044,F7C816,
1610612745,HOU,Houston Rockets,DC0026,3D5DAA,1
1610612754,IND,Indiana Pacers,09AAC7,F1EA16,
1610612746,LAC,LA Clippers,4584BA,1A2F4A,
1610612747,LAL,Los Angeles Lakers,FFC309,433C70,1
1610612763,MEM,Memphis Grizzlies,737373,A9A9A7,
1610612748,MIA,Miami Heat,E20028,747973,1
1610612749,MIL,Milwaukee Bucks,E2CF97,60C083,
1610612750,MIN,Minnesota Timberwolves,99BBD6,77A6C4,
1610612740,NOP,New Orleans Pelicans,342B6A,8AD32A,
1610612752,NYK,New York Knicks,FF8327,395CA0,1
1610612760,OKC,Oklahoma City Thunder,1E6DB0,0D2742,
1610612753,ORL,Orlando Magic,A0A8AB,0D2338,
1610612755,PHI,Philadelphia 76ers,DC0022,0E213F,1
1610612756,PHX,Phoenix Suns,723289,17C1D2,
1610612757,POR,Portland Trail Blazers,DC0026,E3D8A0,1
1610612758,SAC,Sacramento Kings,737570,1A4886,
1610612759,SAS,San Antonio Spurs,4A7E68,F5D930,
1610612761,TOR,Toronto Raptors,3A3D34,7F817C,
1610612762,UTA,Utah Jazz,7875AE,5F5699,
1610612764,WAS,Washington Wizards,A3A7A6,07A991,
